RS_GCF_000970265.1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__
GB_GCA_001507975.1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__;s__
RS_GCF_000337415.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halorubrum;s__
GB_GCA_001512965.1	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__
GB_GCA_001563915.1	d__Archaea;p__Nanohaloarchaeota;c__Nanohaloarchaea;o__;f__;g__;s__
U_68597	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
RS_GCF_000691505.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halostagnicola;s__
RS_GCF_000430485.1	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_1;s__
U_66331	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
GB_GCA_000402515.1	d__Archaea;p__Woesearchaeota_2;c__;o__;f__;g__;s__
RS_GCF_000336875.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halorubrum;s__
GB_GCA_001602645.1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta;s__Methanosaeta harundinacea
U_74854	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__
U_68603	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
GB_GCA_000806095.1	d__Archaea;p__Woesearchaeota;c__;o__;f__;g__;s__
GB_GCA_000007185.1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__
RS_GCF_000337115.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__
U_76972	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
RS_GCF_001316085.1	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__
RS_GCF_001006045.1	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__
RS_GCF_000145295.1	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__
GB_GCA_001627105.1	d__Archaea;p__Thaumarchaeota;c__Nitrosophaeria;o__Nitrosopumilales;f__{undefined Thamarchaeota family};g__Candidatus Nitrosopelagicus;s__
U_66643	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
U_73851	d__Archaea;p__Euryarchaeota;c__Methanomicrobia_1;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__
RS_GCF_000336715.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales_1;f__Halobacteriaceae_1;g__Halococcus;s__
U_66644	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
U_72497	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__
RS_GCF_000746205.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halorubrum;s__
RS_GCF_000337835.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__
RS_GCF_000025285.1	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__
U_76727	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
GB_GCA_000372145.1	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__;g__;s__
U_66326	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
U_66899	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
GB_GCA_000416005.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloquadratum;s__
GB_GCA_001509255.1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia_1;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus marisnigri
RS_GCF_000632495.1	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__
U_74794	d__Archaea;p__Euryarchaeota;c__Methanomicrobia_1;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__
GB_GCA_001316205.1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina horonobensis
U_66092	d__Archaea;p__Euryarchaeota;c__Marine group;o__Marine group II;f__;g__;s__
RS_GCF_001485535.1	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales_2;f__Halobacteriaceae_2;g__Halobacterium;s__
